00|75.518.289/5908-84|Empresa Versao2 01 LTDA|(48) 94113-6042
03|2|Classe 63|
02|4|Item 270|303.62
03|1|Grupo 38|
03|2|Classe 58|
03|3|Tipo 44|
03|4|Grupo 98|
02|5|Produto 777|215.03
03|1|Classe 58|
03|2|Classe 06|
03|3|Tipo 25|
03|4|Grupo 28|
01|CTRC|09-0003|1997.56
02|1|Assinatura 073|82.71
03|1|Classe 99|
02|2|Serviço 801|412.26
03|1|Tipo 07|
02|3|Licença 141|168.40
03|1|Classe 95|
03|2|Classe 40|
02|4|Produto 950|244.54
03|1|Grupo 24|
03|2|Tipo 81|
03|3|Tipo 51|
02|5|Serviço 625|24.75
03|1|Grupo 87|
03|2|Categoria 79|
03|3|Classe 88|
02|6|Assinatura 865|318.34
03|1|Classe 48|
03|2|Grupo 43|
02|7|Serviço 496|491.74
03|1|Classe 29|
03|2|Categoria 08|
02|8|Serviço 617|113.23
03|1|Tipo 88|
03|2|Classe 18|
03|3|Grupo 67|
02|9|Assinatura 824|141.59
03|1|Tipo 55|
01|NF|09-0004|1477.56
02|1|Licença 144|12.57
03|1|Grupo 16|
02|2|Pacote 325|125.06
03|1|Tipo 38|
03|2|Classe 01|
02|3|Assinatura 011|255.23
03|1|Classe 87|
03|2|Classe 69|
02|4|Assinatura 730|279.23
03|1|Grupo 63|
03|2|Tipo 43|
02|5|Licença 785|11.82
03|1|Categoria 61|
03|2|Categoria 18|
02|6|Item 103|351.84
03|1|Categoria 77|
03|2|Grupo 05|
03|3|Tipo 82|
02|7|Peça 107|107.75
03|1|Classe 89|
03|2|Categoria 25|
03|3|Tipo 59|
03|4|Tipo 69|
02|8|Licença 165|275.41
03|1|Classe 55|
03|2|Classe 16|
02|9|Licença 631|58.65
03|1|Grupo 91|
03|2|Tipo 13|
03|3|Tipo 19|
03|4|Tipo 91|
01|NFE|09-0005|2066.33
02|1|Peça 919|74.80
03|1|Categoria 03|
03|2|Categoria 00|
03|3|Categoria 39|
02|2|Componente 301|390.72
03|1|Tipo 57|
03|2|Classe 55|
03|3|Tipo 47|
03|4|Categoria 32|
02|3|Assinatura 813|375.03
03|1|Categoria 74|
03|2|Grupo 85|
02|4|Produto 069|479.18
03|1|Categoria 59|
02|5|Assinatura 380|495.33
03|1|Categoria 16|
03|2|Grupo 22|
03|3|Grupo 87|
03|4|Grupo 66|
02|6|Pacote 956|251.27
03|1|Grupo 39|
03|2|Grupo 42|
03|3|Tipo 31|
01|NFE|09-0006|1138.11
02|1|Pacote 112|31.27
03|1|Grupo 18|
03|2|Categoria 76|
03|3|Tipo 14|
02|2|Produto 987|95.28
03|1|Grupo 54|
02|3|Assinatura 870|339.93
03|1|Categoria 53|
02|4|Componente 479|261.92
03|1|Classe 92|
03|2|Tipo 03|
03|3|Categoria 54|
03|4|Grupo 87|
02|5|Licença 678|207.12
03|1|Categoria 37|
03|2|Tipo 27|
03|3|Grupo 88|
03|4|Categoria 23|
02|6|Produto 016|202.59
03|1|Grupo 01|
03|2|Tipo 72|
03|3|Classe 08|
01|NFC|09-0007|2586.53
02|1|Item 070|158.77
03|1|Categoria 05|
02|2|Serviço 995|216.01
03|1|Grupo 00|
03|2|Classe 74|
03|3|Grupo 41|
03|4|Grupo 72|
02|3|Produto 456|398.75
03|1|Tipo 64|
03|2|Tipo 84|
03|3|Grupo 40|
03|4|Grupo 09|
02|4|Item 984|422.41
03|1|Grupo 31|
03|2|Classe 49|
03|3|Categoria 23|
03|4|Grupo 12|
02|5|Pacote 434|277.03
03|1|Categoria 15|
02|6|Produto 308|207.03
03|1|Grupo 28|
02|7|Produto 009|223.32
03|1|Tipo 72|
03|2|Categoria 84|
03|3|Tipo 28|
03|4|Tipo 22|
02|8|Assinatura 530|154.41
03|1|Classe 01|
03|2|Categoria 32|
02|9|Item 360|434.48
03|1|Grupo 80|
03|2|Categoria 47|
03|3|Grupo 16|
03|4|Tipo 53|
02|10|Licença 166|94.32
03|1|Categoria 86|
03|2|Tipo 96|
03|3|Categoria 01|
03|4|Classe 97|
01|NFS|09-0008|2280.95
02|1|Assinatura 093|482.02
03|1|Categoria 39|
02|2|Serviço 994|485.09
03|1|Tipo 92|
02|3|Serviço 913|240.72
03|1|Tipo 53|
02|4|Pacote 120|252.32
03|1|Classe 61|
03|2|Grupo 66|
03|3|Categoria 29|
02|5|Licença 548|374.62
03|1|Classe 90|
03|2|Classe 73|
03|3|Tipo 41|
03|4|Tipo 65|
02|6|Licença 030|446.18
03|1|Classe 20|
01|NFE|09-0009|1635.26
02|1|Serviço 994|267.37
03|1|Grupo 02|
03|2|Classe 20|
03|3|Categoria 24|
03|4|Tipo 97|
02|2|Item 214|215.01
03|1|Classe 36|
03|2|Classe 05|
03|3|Tipo 75|
03|4|Tipo 77|
02|3|Licença 133|347.26
03|1|Classe 22|
03|2|Classe 57|
03|3|Classe 46|
02|4|Peça 233|295.13
03|1|Categoria 46|
03|2|Tipo 47|
03|3|Categoria 05|
03|4|Categoria 58|
02|5|Assinatura 099|192.29
03|1|Classe 78|
03|2|Tipo 34|
03|3|Grupo 92|
02|6|Pacote 441|22.87
03|1|Classe 24|
02|7|Item 045|206.10
03|1|Classe 27|
03|2|Classe 05|
03|3|Tipo 45|
03|4|Tipo 52|
02|8|Peça 596|89.23
03|1|Classe 43|
03|2|Tipo 03|
03|3|Categoria 48|
01|CTRC|09-0010|1897.56
02|1|Produto 189|366.25
03|1|Categoria 42|
02|2|Item 156|396.18
03|1|Classe 09|
03|2|Classe 43|
03|3|Classe 47|
03|4|Categoria 48|
02|3|Item 336|22.21
03|1|Categoria 48|
02|4|Produto 324|148.61
03|1|Categoria 33|
02|5|Peça 626|230.66
03|1|Grupo 35|
03|2|Grupo 00|
02|6|Licença 611|325.13
03|1|Grupo 34|
03|2|Grupo 42|
02|7|Licença 741|173.99
03|1|Grupo 06|
03|2|Tipo 30|
03|3|Grupo 25|
02|8|Componente 457|234.53
03|1|Grupo 38|
03|2|Classe 39|
00|82.035.428/1530-37|Empresa Versao2 10 LTDA|(04) 94856-0821
01|NFC|10-0001|950.94
02|1|Item 130|142.53
03|1|Classe 34|
02|2|Pacote 439|167.13
03|1|Categoria 78|
03|2|Classe 31|
03|3|Classe 71|
03|4|Categoria 54|
02|3|Componente 465|387.97
03|1|Categoria 47|
03|2|Grupo 99|
03|3|Categoria 07|
03|4|Grupo 84|
02|4|Licença 838|112.96
03|1|Classe 42|
03|2|Tipo 42|
02|5|Pacote 189|21.22
03|1|Classe 55|
03|2|Categoria 67|
02|6|Peça 065|54.18
03|1|Grupo 07|
03|2|Categoria 80|
03|3|Categoria 00|
03|4|Categoria 54|
02|7|Peça 051|64.95
03|1|Grupo 11|
03|2|Categoria 51|
03|3|Tipo 31|
03|4|Classe 12|
01|CTRC|10-0002|2135.61
02|1|Componente 090|98.91
03|1|Grupo 27|
03|2|Tipo 67|
03|3|Categoria 56|
02|2|Serviço 507|382.55
03|1|Tipo 31|
03|2|Categoria 53|
03|3|Grupo 68|
03|4|Grupo 54|
02|3|Serviço 980|227.84
03|1|Categoria 00|
03|2|Classe 90|
03|3|Categoria 72|
02|4|Pacote 015|381.66
03|1|Categoria 03|
03|2|Grupo 02|
03|3|Grupo 75|
02|5|Peça 847|409.30
03|1|Categoria 24|
03|2|Grupo 22|
03|3|Tipo 87|
03|4|Grupo 63|
02|6|Peça 716|261.82
03|1|Tipo 63|
03|2|Grupo 61|
03|3|Grupo 01|
02|7|Assinatura 295|34.26
03|1|Categoria 51|
03|2|Categoria 15|
03|3|Grupo 58|
03|4|Tipo 04|
02|8|Produto 117|103.93
03|1|Tipo 88|
03|2|Grupo 36|
03|3|Categoria 77|
03|4|Grupo 64|
02|9|Pacote 394|235.34
03|1|Classe 49|
03|2|Categoria 56|
01|NFS|10-0003|1014.88
02|1|Serviço 493|398.81
03|1|Classe 15|
02|2|Componente 878|24.17
03|1|Classe 21|
03|2|Tipo 28|
02|3|Serviço 397|95.95
03|1|Categoria 11|
03|2|Classe 04|
02|4|Serviço 354|446.01
03|1|Classe 89|
03|2|Classe 73|
03|3|Categoria 33|
03|4|Classe 83|
02|5|Peça 120|49.94
03|1|Classe 92|
03|2|Categoria 28|
01|CTRC|10-0004|740.26
02|1|Componente 228|248.84
03|1|Classe 48|
03|2|Classe 36|
02|2|Serviço 184|214.45
03|1|Tipo 21|
02|3|Licença 928|63.29
03|1|Tipo 42|
02|4|Serviço 095|126.91
03|1|Classe 94|
02|5|Componente 450|86.77
03|1|Categoria 01|
03|2|Categoria 13|
01|NFS|10-0005|2051.32
02|1|Pacote 575|270.19
03|1|Classe 67|
02|2|Licença 673|148.82
03|1|Tipo 39|
03|2|Categoria 28|
02|3|Peça 520|447.34
03|1|Tipo 34|
03|2|Grupo 84|
03|3|Tipo 70|
03|4|Categoria 95|
02|4|Licença 258|272.64
03|1|Tipo 34|
03|2|Classe 29|
03|3|Tipo 46|
03|4|Grupo 03|
02|5|Licença 847|363.21
03|1|Classe 15|
03|2|Grupo 14|
03|3|Categoria 94|
03|4|Grupo 89|
02|6|Licença 487|106.46
03|1|Grupo 79|
03|2|Categoria 08|
03|3|Grupo 33|
02|7|Item 172|442.66
03|1|Grupo 34|
01|NFS|10-0006|1978.66
02|1|Assinatura 983|418.24
03|1|Tipo 75|
02|2|Serviço 959|406.35
03|1|Grupo 58|
03|2|Classe 58|
03|3|Grupo 68|
02|3|Serviço 632|213.16
03|1|Categoria 39|
02|4|Serviço 791|112.23
03|1|Tipo 27|
03|2|Classe 97|
03|3|Classe 22|
02|5|Pacote 322|314.00
03|1|Tipo 19|
03|2|Grupo 22|
02|6|Licença 585|330.61
03|1|Categoria 36|
03|2|Categoria 13|
03|3|Tipo 42|
02|7|Componente 558|32.02
03|1|Grupo 04|
03|2|Tipo 41|
03|3|Tipo 05|
02|8|Item 672|152.05
03|1|Classe 10|
03|2|Tipo 88|
03|3|Tipo 19|
03|4|Grupo 48|
01|NF|10-0007|2108.11
02|1|Assinatura 401|487.09
03|1|Classe 59|
03|2|Tipo 60|
03|3|Categoria 17|
03|4|Tipo 51|
02|2|Item 252|317.45
03|1|Categoria 73|
02|3|Componente 742|449.08
03|1|Categoria 94|
03|2|Tipo 11|
03|3|Categoria 85|
02|4|Pacote 770|341.01
03|1|Grupo 04|
03|2|Categoria 22|
03|3|Classe 67|
03|4|Grupo 38|
02|5|Peça 807|83.99
03|1|Tipo 11|
02|6|Serviço 752|429.49
03|1|Grupo 93|
03|2|Tipo 84|
03|3|Classe 35|
01|NF|10-0008|2477.78
02|1|Licença 870|359.26
03|1|Categoria 26|
03|2|Grupo 73|
03|3|Tipo 68|
03|4|Categoria 19|
02|2|Pacote 412|325.18
03|1|Classe 54|
03|2|Grupo 49|
02|3|Produto 159|209.06
03|1|Tipo 47|
03|2|Categoria 99|
03|3|Classe 10|
03|4|Tipo 87|
02|4|Assinatura 064|341.95
03|1|Tipo 72|
03|2|Categoria 24|
02|5|Componente 408|453.59
03|1|Tipo 03|
02|6|Pacote 276|316.53
03|1|Categoria 37|
03|2|Grupo 92|
02|7|Item 308|442.18
03|1|Categoria 15|
03|2|Classe 62|
03|3|Tipo 97|
03|4|Grupo 26|
02|8|Componente 452|30.03
03|1|Categoria 99|
03|2|Grupo 46|
01|NFC|10-0009|2401.35
02|1|Assinatura 237|403.82
03|1|Classe 47|
02|2|Peça 255|76.01
03|1|Grupo 75|
03|2|Tipo 48|
03|3|Grupo 83|
03|4|Grupo 67|
02|3|Licença 428|21.25
03|1|Grupo 75|
03|2|Categoria 92|
02|4|Licença 214|419.48
03|1|Classe 29|
03|2|Categoria 53|
03|3|Grupo 61|
02|5|Item 148|261.33
03|1|Categoria 70|
03|2|Grupo 54|
03|3|Categoria 03|
02|6|Componente 868|165.89
03|1|Grupo 17|
02|7|Item 389|453.73
03|1|Tipo 43|
03|2|Categoria 56|
02|8|Pacote 260|206.72
03|1|Categoria 57|
02|9|Item 520|393.12
03|1|Tipo 16|
01|NFC|10-0010|2687.52
02|1|Pacote 755|150.25
03|1|Grupo 09|
03|2|Classe 87|
02|2|Pacote 369|130.54
03|1|Categoria 61|
03|2|Categoria 74|
03|3|Classe 85|
03|4|Categoria 17|
02|3|Licença 260|496.04
03|1|Categoria 20|
03|2|Categoria 06|
03|3|Categoria 94|
02|4|Peça 517|435.59
03|1|Classe 41|
03|2|Categoria 33|
02|5|Licença 380|119.57
03|1|Tipo 83|
02|6|Produto 099|475.47
03|1|Categoria 18|
03|2|Tipo 91|
03|3|Grupo 68|
02|7|Peça 464|11.85
03|1|Classe 55|
03|2|Grupo 90|
03|3|Categoria 19|
02|8|Licença 347|174.96
03|1|Grupo 50|
03|2|Categoria 59|
03|3|Classe 93|
03|4|Categoria 76|
02|9|Pacote 698|259.99
03|1|Tipo 86|
02|10|Peça 999|433.26
03|1|Classe 33|
03|2|Categoria 26|
03|3|Grupo 53|
03|4|Grupo 66|
00|71.622.144/4105-73|Empresa Versao2 11 LTDA|(92) 98906-9939
01|NF|11-0001|2235.21
02|1|Item 733|315.05
03|1|Grupo 47|
03|2|Classe 73|
03|3|Grupo 16|
02|2|Item 374|382.44
03|1|Categoria 09|
03|2|Grupo 09|
03|3|Tipo 41|
03|4|Classe 00|
02|3|Assinatura 918|326.61
03|1|Grupo 60|
03|2|Categoria 81|
03|3|Tipo 58|
02|4|Licença 794|420.19
03|1|Tipo 62|
03|2|Grupo 49|
03|3|Categoria 00|
02|5|Licença 425|159.08
03|1|Categoria 31|
03|2|Grupo 03|
02|6|Peça 615|93.14
03|1|Grupo 05|
03|2|Tipo 32|
03|3|Classe 59|
02|7|Componente 798|488.02
03|1|Grupo 05|
03|2|Classe 68|
03|3|Classe 52|
03|4|Categoria 56|
02|8|Produto 830|50.68
03|1|Categoria 91|
03|2|Classe 42|
01|CTRC|11-0002|1483.44
02|1|Componente 146|159.62
03|1|Tipo 94|
03|2|Grupo 91|
02|2|Item 048|141.16
03|1|Classe 39|
03|2|Tipo 33|
03|3|Classe 87|
02|3|Componente 431|65.71
03|1|Categoria 59|
03|2|Tipo 39|
02|4|Serviço 159|26.89
03|1|Classe 53|
03|2|Grupo 94|
02|5|Item 343|82.87
03|1|Classe 41|
03|2|Tipo 65|
03|3|Grupo 50|
02|6|Componente 495|350.46
03|1|Classe 08|
03|2|Classe 06|
02|7|Serviço 574|499.61
03|1|Grupo 78|
03|2|Tipo 64|
03|3|Grupo 63|
03|4|Classe 59|
02|8|Item 326|157.12
03|1|Grupo 40|
01|NF|11-0003|2487.32
02|1|Componente 393|230.67
03|1|Grupo 21|
03|2|Grupo 37|
03|3|Categoria 87|
03|4|Grupo 73|
02|2|Peça 889|365.70
03|1|Classe 20|
03|2|Classe 52|
02|3|Peça 072|392.76
03|1|Classe 30|
03|2|Categoria 52|
03|3|Classe 54|
03|4|Classe 34|
02|4|Peça 026|427.66
03|1|Tipo 83|
03|2|Categoria 21|
03|3|Tipo 22|
03|4|Classe 94|
02|5|Produto 257|94.70
03|1|Categoria 49|
03|2|Categoria 99|
03|3|Classe 00|
02|6|Serviço 962|173.32
03|1|Classe 61|
02|7|Peça 304|151.31
03|1|Grupo 69|
03|2|Grupo 97|
03|3|Grupo 31|
02|8|Pacote 342|349.06
03|1|Classe 11|
03|2|Classe 64|
03|3|Classe 54|
03|4|Tipo 12|
02|9|Assinatura 943|302.14
03|1|Categoria 37|
03|2|Grupo 80|
03|3|Grupo 88|
03|4|Categoria 37|
01|NFS|11-0004|2193.77
02|1|Licença 269|314.75
03|1|Categoria 67|
02|2|Componente 059|299.64
03|1|Classe 70|
03|2|Categoria 02|
03|3|Categoria 93|
03|4|Categoria 56|
02|3|Serviço 455|336.91
03|1|Grupo 36|
03|2|Grupo 56|
02|4|Pacote 528|141.37
03|1|Tipo 92|
03|2|Grupo 89|
03|3|Classe 34|
03|4|Grupo 98|
02|5|Pacote 354|438.50
03|1|Tipo 58|
03|2|Grupo 37|
03|3|Classe 61|
03|4|Grupo 39|
02|6|Licença 172|260.77
03|1|Categoria 36|
03|2|Tipo 41|
02|7|Peça 202|401.83
03|1|Categoria 76|
03|2|Grupo 47|
01|CTRC|11-0005|1235.32
02|1|Produto 755|145.40
03|1|Categoria 36|
03|2|Grupo 71|
03|3|Grupo 73|
03|4|Grupo 39|
02|2|Serviço 921|467.07
03|1|Tipo 77|
03|2|Classe 63|
02|3|Serviço 719|102.61
03|1|Classe 41|
02|4|Pacote 988|36.48
03|1|Categoria 57|
03|2|Grupo 31|
03|3|Tipo 46|
02|5|Item 879|355.03
03|1|Grupo 31|
02|6|Componente 190|128.73
03|1|Categoria 70|
01|NFC|11-0006|2578.17
02|1|Componente 280|465.87
03|1|Classe 07|
03|2|Tipo 50|
02|2|Serviço 796|486.18
03|1|Tipo 70|
02|3|Assinatura 364|404.47
03|1|Tipo 22|
03|2|Grupo 27|
03|3|Tipo 18|
03|4|Classe 71|
02|4|Componente 822|392.00
03|1|Classe 45|
02|5|Peça 567|208.12
03|1|Tipo 65|
03|2|Tipo 03|
03|3|Classe 37|
03|4|Grupo 62|
02|6|Assinatura 672|285.69
03|1|Tipo 53|
03|2|Grupo 75|
03|3|Categoria 10|
02|7|Licença 139|119.30
03|1|Classe 52|
03|2|Categoria 24|
03|3|Categoria 90|
03|4|Classe 94|
02|8|Peça 224|216.54
03|1|Grupo 99|
01|NF|11-0007|2579.31
02|1|Item 782|250.19
03|1|Categoria 27|
03|2|Grupo 17|
02|2|Pacote 523|458.84
03|1|Classe 90|
02|3|Licença 962|214.01
03|1|Categoria 93|
02|4|Serviço 211|22.69
03|1|Tipo 64|
03|2|Classe 36|
02|5|Componente 436|438.72
03|1|Classe 41|
02|6|Assinatura 105|441.46
03|1|Categoria 76|
03|2|Classe 64|
03|3|Classe 37|
02|7|Licença 232|181.71
03|1|Categoria 71|
03|2|Grupo 54|
02|8|Componente 864|204.33
03|1|Classe 59|
03|2|Categoria 32|
03|3|Classe 20|
02|9|Componente 270|367.36
03|1|Grupo 72|
03|2|Grupo 29|
03|3|Grupo 66|
03|4|Tipo 25|
01|NFC|11-0008|2002.48
02|1|Item 420|52.66
03|1|Tipo 57|
03|2|Grupo 92|
03|3|Classe 51|
02|2|Componente 021|69.43
03|1|Classe 42|
03|2|Tipo 23|
02|3|Componente 852|339.47
03|1|Classe 10|
03|2|Categoria 19|
03|3|Classe 08|
03|4|Categoria 71|
02|4|Licença 603|334.26
03|1|Categoria 17|
03|2|Categoria 14|
02|5|Pacote 155|354.24
03|1|Categoria 76|
03|2|Tipo 76|
03|3|Categoria 15|
03|4|Tipo 68|
02|6|Item 329|499.29
03|1|Tipo 67|
03|2|Categoria 20|
02|7|Licença 666|353.13
03|1|Grupo 35|
03|2|Categoria 97|
03|3|Grupo 77|
03|4|Classe 72|
01|NFC|11-0009|1858.10
02|1|Serviço 781|84.71
03|1|Classe 18|
02|2|Produto 694|437.44
03|1|Categoria 36|
02|3|Componente 619|211.85
03|1|Classe 29|
03|2|Categoria 23|
02|4|Peça 254|279.36
03|1|Grupo 59|
03|2|Categoria 80|
03|3|Classe 86|
03|4|Grupo 71|
02|5|Licença 313|314.77
03|1|Classe 52|
03|2|Tipo 61|
02|6|Item 429|410.96
03|1|Categoria 86|
03|2|Classe 00|
03|3|Categoria 80|
03|4|Grupo 57|
02|7|Serviço 294|119.01
03|1|Tipo 34|
03|2|Classe 56|
03|3|Grupo 20|
01|NFC|11-0010|1368.65
02|1|Licença 014|88.49
03|1|Categoria 64|
02|2|Componente 649|104.28
03|1|Tipo 32|
03|2|Tipo 18|
03|3|Categoria 36|
02|3|Componente 733|275.50
03|1|Grupo 57|
03|2|Classe 12|
03|3|Classe 75|
02|4|Pacote 213|373.68
03|1|Grupo 38|
03|2|Classe 81|
03|3|Classe 07|
03|4|Categoria 02|
02|5|Serviço 998|186.39
03|1|Tipo 15|
02|6|Produto 716|340.31
03|1|Tipo 12|
03|2|Categoria 33|
03|3|Tipo 55|
00|72.309.781/6665-70|Empresa Versao2 12 LTDA|(13) 95440-3733
01|NFC|12-0001|1151.79
02|1|Item 724|107.49
03|1|Grupo 05|
03|2|Tipo 67|
02|2|Assinatura 600|321.60
03|1|Categoria 81|
03|2|Tipo 73|
02|3|Peça 914|488.69
03|1|Categoria 26|
03|2|Categoria 85|
02|4|Peça 179|24.99
03|1|Categoria 14|
03|2|Grupo 69|
03|3|Classe 50|
03|4|Classe 26|
02|5|Serviço 591|209.02
03|1|Tipo 46|
03|2|Grupo 77|
01|CTRC|12-0002|1546.29
02|1|Item 670|227.91
03|1|Grupo 08|
03|2|Classe 64|
03|3|Categoria 98|
03|4|Grupo 97|
02|2|Pacote 824|187.58
03|1|Classe 98|
03|2|Categoria 37|
03|3|Tipo 37|
02|3|Item 015|464.67
03|1|Classe 81|
02|4|Peça 750|303.95
03|1|Tipo 06|
03|2|Categoria 37|
03|3|Tipo 64|
02|5|Licença 536|362.18
03|1|Grupo 14|
03|2|Grupo 41|
03|3|Categoria 32|
01|NFS|12-0003|1639.43
02|1|Componente 787|427.01
03|1|Tipo 02|
03|2|Categoria 57|
02|2|Item 588|274.18
03|1|Tipo 42|
02|3|Serviço 226|10.92
03|1|Tipo 25|
02|4|Serviço 868|200.47
03|1|Categoria 43|
03|2|Tipo 38|
03|3|Categoria 60|
02|5|Licença 284|211.65
03|1|Tipo 52|
02|6|Peça 049|447.17
03|1|Classe 51|
02|7|Produto 389|68.03
03|1|Tipo 04|
03|2|Tipo 24|
03|3|Tipo 31|
01|NF|12-0004|2369.19
02|1|Item 325|246.68
03|1|Grupo 46|
03|2|Grupo 90|
03|3|Tipo 18|
02|2|Assinatura 847|270.21
03|1|Grupo 89|
02|3|Pacote 817|368.90
03|1|Classe 41|
03|2|Tipo 06|
02|4|Pacote 352|423.10
03|1|Categoria 19|
02|5|Peça 927|276.08
03|1|Classe 86|
03|2|Tipo 82|
03|3|Grupo 44|
03|4|Tipo 76|
02|6|Pacote 770|22.75
03|1|Tipo 00|
03|2|Classe 50|
03|3|Grupo 61|
02|7|Pacote 736|46.78
03|1|Grupo 46|
03|2|Tipo 10|
03|3|Classe 08|
02|8|Peça 758|460.11
03|1|Grupo 83|
02|9|Peça 127|254.58
03|1|Tipo 81|
03|2|Grupo 24|
03|3|Categoria 24|
03|4|Tipo 29|
01|NFE|12-0005|1056.85
02|1|Peça 999|41.83
03|1|Grupo 69|
03|2|Grupo 84|
03|3|Grupo 58|
03|4|Classe 09|
02|2|Item 261|412.88
03|1|Tipo 05|
02|3|Pacote 041|98.54
03|1|Tipo 20|
03|2|Grupo 41|
02|4|Assinatura 642|268.10
03|1|Tipo 22|
03|2|Grupo 25|
03|3|Categoria 12|
02|5|Pacote 482|67.98
03|1|Categoria 34|
03|2|Tipo 06|
03|3|Categoria 70|
03|4|Grupo 37|
02|6|Item 764|167.52
03|1|Classe 53|
01|NFE|12-0006|2339.33
02|1|Assinatura 616|36.13
03|1|Grupo 07|
03|2|Categoria 53|
03|3|Categoria 67|
02|2|Assinatura 220|358.74
03|1|Grupo 89|
03|2|Grupo 25|
02|3|Pacote 934|403.61
03|1|Classe 61|
03|2|Categoria 76|
03|3|Tipo 52|
02|4|Pacote 025|433.37
03|1|Grupo 50|
03|2|Grupo 62|
03|3|Grupo 99|
03|4|Grupo 63|
02|5|Assinatura 821|249.15
03|1|Categoria 60|
03|2|Tipo 81|
02|6|Licença 258|377.78
03|1|Grupo 68|
02|7|Item 300|308.70
03|1|Grupo 99|
03|2|Tipo 76|
03|3|Grupo 19|
02|8|Produto 017|171.85
03|1|Tipo 19|
03|2|Tipo 23|
01|NFC|12-0007|2088.25
02|1|Componente 608|234.05
03|1|Categoria 51|
03|2|Grupo 06|
03|3|Tipo 31|
02|2|Serviço 909|109.67
03|1|Tipo 31|
03|2|Categoria 67|
03|3|Classe 21|
03|4|Grupo 41|
02|3|Pacote 381|436.72
03|1|Categoria 69|
02|4|Pacote 740|480.99
03|1|Classe 52|
03|2|Categoria 24|
02|5|Item 990|491.40
03|1|Tipo 64|
03|2|Categoria 33|
02|6|Assinatura 273|59.76
03|1|Grupo 94|
02|7|Licença 497|275.66
03|1|Categoria 59|
01|NFS|12-0008|1937.94
02|1|Licença 039|33.69
03|1|Classe 18|
03|2|Tipo 55|
02|2|Item 913|45.77
03|1|Classe 38|
03|2|Grupo 58|
03|3|Tipo 72|
02|3|Serviço 153|497.07
03|1|Grupo 62|
03|2|Grupo 59|
03|3|Tipo 24|
03|4|Grupo 45|
02|4|Peça 384|327.36
03|1|Categoria 53|
03|2|Categoria 11|
03|3|Categoria 17|
03|4|Classe 67|
02|5|Peça 425|419.35
03|1|Grupo 07|
03|2|Categoria 79|
03|3|Grupo 25|
02|6|Assinatura 999|281.43
03|1|Classe 75|
03|2|Grupo 50|
03|3|Tipo 04|
02|7|Licença 311|101.75
03|1|Categoria 59|
02|8|Pacote 248|231.52
03|1|Grupo 54|
03|2|Tipo 95|
01|CTRC|12-0009|1649.37
02|1|Assinatura 733|454.62
03|1|Tipo 89|
03|2|Tipo 61|
02|2|Produto 235|158.25
03|1|Categoria 57|
02|3|Produto 518|263.30
03|1|Categoria 64|
03|2|Classe 61|
02|4|Peça 110|403.69
03|1|Categoria 44|
03|2|Classe 39|
02|5|Item 665|229.29
03|1|Categoria 61|
03|2|Categoria 92|
03|3|Classe 92|
03|4|Grupo 02|
02|6|Serviço 069|140.22
03|1|Categoria 38|
01|NFC|12-0010|995.18
02|1|Item 436|69.84
03|1|Tipo 00|
03|2|Categoria 79|
03|3|Classe 82|
03|4|Grupo 02|
02|2|Item 718|20.16
03|1|Categoria 54|
03|2|Tipo 03|
02|3|Item 392|358.14
03|1|Categoria 24|
03|2|Classe 17|
03|3|Classe 04|
02|4|Pacote 752|179.83
03|1|Classe 71|
02|5|Item 288|132.50
03|1|Grupo 17|
03|2|Classe 47|
02|6|Licença 281|136.37
03|1|Tipo 02|
03|2|Tipo 08|
03|3|Tipo 60|
02|7|Produto 272|98.34
03|1|Categoria 93|
03|2|Categoria 43|
03|3|Grupo 89|
03|4|Categoria 96|
00|93.835.541/0995-63|Empresa Versao2 13 LTDA|(89) 91550-4050
01|NFC|13-0001|1696.74
02|1|Licença 354|476.02
03|1|Classe 22|
02|2|Produto 061|78.99
03|1|Classe 53|
02|3|Componente 932|300.01
03|1|Tipo 17|
03|2|Grupo 90|
03|3|Grupo 36|
03|4|Categoria 40|
02|4|Produto 101|137.85
03|1|Classe 58|
03|2|Classe 01|
03|3|Categoria 35|
02|5|Item 655|248.64
03|1|Categoria 93|
03|2|Categoria 39|
03|3|Tipo 27|
02|6|Produto 796|387.54
03|1|Categoria 11|
03|2|Tipo 38|
03|3|Grupo 74|
03|4|Categoria 06|
02|7|Item 601|67.69
03|1|Categoria 68|
03|2|Tipo 60|
03|3|Categoria 75|
03|4|Classe 39|
01|NF|13-0002|3016.13
02|1|Pacote 791|192.23
03|1|Tipo 00|
03|2|Grupo 23|
02|2|Produto 584|347.49
03|1|Tipo 20|
03|2|Grupo 31|
03|3|Classe 48|
02|3|Item 448|175.00
03|1|Categoria 43|
02|4|Item 377|269.08
03|1|Tipo 77|
03|2|Classe 96|
03|3|Grupo 46|
02|5|Serviço 624|493.22
03|1|Classe 01|
03|2|Grupo 13|
03|3|Tipo 28|
02|6|Serviço 937|367.89
03|1|Categoria 81|
03|2|Grupo 51|
02|7|Peça 868|495.62
03|1|Categoria 27|
03|2|Categoria 85|
03|3|Classe 29|
03|4|Categoria 08|
02|8|Item 223|262.56
03|1|Classe 65|
03|2|Tipo 63|
03|3|Classe 92|
02|9|Serviço 131|413.04
03|1|Grupo 93|
03|2|Categoria 76|
03|3|Grupo 37|
01|NFE|13-0003|2422.75
02|1|Item 431|342.64
